1.202692,100,10,18
0.914175,100,15,18
0.948668,100,20,18
0.8714008,100,25,18
0.9013689,100,30,18
0.705833,140,10,18
0.7971878,140,15,18
0.8470638,140,20,18
0.797672,140,25,18
0.858088,140,30,18
0.7328658,180,10,18
0.7776761,180,15,18
0.7983553,180,20,18
0.8829482,180,25,18
0.8568001,180,30,18
0.748513,220,10,18
0.8427372,220,15,18
0.73332,220,20,18
0.756454,220,25,18
0.7704508,220,30,18
0.8693671,260,10,18
0.6865489,260,15,18
0.6977789,260,20,18
0.6937561,260,25,18
0.7822311,260,30,18
0.7160769,300,10,18
0.6576481,300,15,18
0.689851,300,20,18
0.683543,300,25,18
0.6667809,300,30,18
0.6932151,340,10,18
0.6561651,340,15,18
0.6748059,340,20,18
0.6410632,340,25,18
0.7596359,340,30,18
0.6682341,380,10,18
0.6470671,380,15,18
0.6763527,380,20,18
0.72945,380,25,18
0.6860521,380,30,18
0.6225517,420,10,18
0.679281,420,15,18
0.6482151,420,20,18
0.655437,420,25,18
0.7050939,420,30,18
0.6304178,460,10,18
0.6710868,460,15,18
0.6829393,460,20,18
0.8593891,460,25,18
0.9435041,460,30,18
0.6824567,500,10,18
0.6381588,500,15,18
0.812691,500,20,18
0.6577818,500,25,18
0.683301,500,30,18
2.6652758,100,10,20
2.5988181,100,15,20
2.8526492,100,20,20
2.5939322,100,25,20
2.673737,100,30,20
2.4403169,140,10,20
2.4284968,140,15,20
2.396488,140,20,20
2.4125211,140,25,20
2.369704,140,30,20
2.1053939,180,10,20
2.107749,180,15,20
2.1582839,180,20,20
2.1945841,180,25,20
2.2023911,180,30,20
1.9777989,220,10,20
2.028302,220,15,20
2.0940561,220,20,20
2.0797329,220,25,20
2.0806999,220,30,20
1.912384,260,10,20
1.9297812,260,15,20
1.8553181,260,20,20
2.0404639,260,25,20
1.9808052,260,30,20
1.787025,300,10,20
1.8780589,300,15,20
1.9773939,300,20,20
1.8239501,300,25,20
1.8842812,300,30,20
1.638942,340,10,20
1.7453508,340,15,20
1.7505658,340,20,20
1.7247198,340,25,20
1.99106,340,30,20
1.6814959,380,10,20
1.7683029,380,15,20
1.734808,380,20,20
2.067512,380,25,20
1.8660879,380,30,20
1.6400142,420,10,20
1.6122439,420,15,20
1.6411881,420,20,20
1.652504,420,25,20
1.6928253,420,30,20
1.6330931,460,10,20
1.6577542,460,15,20
1.6605871,460,20,20
1.8513548,460,25,20
1.6570868,460,30,20
1.5165257,500,10,20
1.4835019,500,15,20
1.5583298,500,20,20
1.514401,500,25,20
1.509074,500,30,20
9.620924,100,10,22
9.351743,100,15,22
10.069298,100,20,22
9.5829031,100,25,22
9.5410261,100,30,22
8.4302208,140,10,22
8.4187388,140,15,22
8.6560221,140,20,22
8.4062419,140,25,22
8.613631,140,30,22
7.9471838,180,10,22
7.6180279,180,15,22
7.7234089,180,20,22
7.6314521,180,25,22
7.6385992,180,30,22
6.8359578,220,10,22
7.0169959,220,15,22
6.8892784,220,20,22
7.0981169,220,25,22
7.408525,220,30,22
6.5868399,260,10,22
8.1822851,260,15,22
6.7016518,260,20,22
6.539866,260,25,22
6.598043,260,30,22
6.215147,300,10,22
6.406414,300,15,22
6.0982993,300,20,22
6.232003,300,25,22
6.116502,300,30,22
5.8057339,340,10,22
5.7833519,340,15,22
5.9063239,340,20,22
5.765646,340,25,22
5.9456141,340,30,22
5.5958862,380,10,22
5.5753908,380,15,22
5.666255,380,20,22
5.8114779,380,25,22
5.5026209,380,30,22
5.4877279,420,10,22
5.5696812,420,15,22
5.5243261,420,20,22
5.6730268,420,25,22
5.5250361,420,30,22
5.4108779,460,10,22
5.323158,460,15,22
5.367945,460,20,22
5.4180582,460,25,22
5.4030128,460,30,22
5.44977,500,10,22
5.440536,500,15,22
5.470717,500,20,22
5.4212658,500,25,22
5.4430592,500,30,22
36.6051571,100,10,24
36.1022549,100,15,24
35.6186068,100,20,24
35.903651,100,25,24
36.854214,100,30,24
32.537559,140,10,24
32.2944148,140,15,24
31.7545221,140,20,24
32.955106,140,25,24
31.6906321,140,30,24
29.4157548,180,10,24
28.567667,180,15,24
28.5505359,180,20,24
28.4987872,180,25,24
28.573813,180,30,24
26.0464251,220,10,24
26.8918121,220,15,24
27.4338701,220,20,24
28.0535512,220,25,24
26.605716,220,30,24
24.3706501,260,10,24
24.2055092,260,15,24
24.61292,260,20,24
24.4551578,260,25,24
24.3569942,260,30,24
22.6696,300,10,24
23.0598593,300,15,24
22.659776,300,20,24
23.3073761,300,25,24
23.1418941,300,30,24
21.4202273,340,10,24
21.3141758,340,15,24
21.2720151,340,20,24
21.6115887,340,25,24
21.6111403,340,30,24
21.0617421,380,10,24
20.5921798,380,15,24
20.386461,380,20,24
20.5032511,380,25,24
20.6062899,380,30,24
20.4517419,420,10,24
21.1862221,420,15,24
20.8777499,420,20,24
20.3127968,420,25,24
20.1923552,420,30,24
20.220365,460,10,24
20.1855638,460,15,24
20.2121761,460,20,24
20.2554343,460,25,24
20.11905,460,30,24
20.333566,500,10,24
20.6153731,500,15,24
20.1462388,500,20,24
20.192589,500,25,24
20.6263938,500,30,24
153.9077592,100,10,26
147.280273,100,15,26
170.6559796,100,20,26
157.200269,100,25,26
142.9056349,100,30,26
126.9856579,140,10,26
124.6816962,140,15,26
124.2790589,140,20,26
123.6070318,140,25,26
122.2078888,140,30,26
116.6338451,180,10,26
139.3775268,180,15,26
134.8129721,180,20,26
130.4231858,180,25,26
134.233001,180,30,26
104.666816,220,10,26
124.32795,220,15,26
127.8938377,220,20,26
134.1027291,220,25,26
134.8748281,220,30,26
142.0610759,260,10,26
131.2424278,260,15,26
120.8353431,260,20,26
120.2708659,260,25,26
112.1370199,260,30,26
106.459271,300,10,26
106.8011649,300,15,26
106.222693,300,20,26
103.4580619,300,25,26
128.5742569,300,30,26
122.9205449,340,10,26
128.5560269,340,15,26
121.5774999,340,20,26
125.0932758,340,25,26
118.733232,340,30,26
117.515696,380,10,26
113.9012082,380,15,26
112.997751,380,20,26
116.0975068,380,25,26
112.603673,380,30,26
101.8842628,420,10,26
109.8403752,420,15,26
114.4872191,420,20,26
97.955044,420,25,26
84.13076,420,30,26
84.1813059,460,10,26
83.5724502,460,15,26
83.9034851,460,20,26
79.947479,460,25,26
80.7025561,460,30,26
78.553534,500,10,26
82.7655401,500,15,26
78.741899,500,20,26
79.8160269,500,25,26
81.7833378,500,30,26
